Text,Sentiment
i loved this keyboard when first started using it but that didn last very long haven even been using this keyboard for full month yet and it quit working completely such waste of time completely useless for working from home the usb stays plugged in all the time so can use the wireless capability but it just quit charging can press key and then it completely dies even if plug in the usb cord it will light up but no matter what key press it does absolutely nothing am returning this asap don waste your time or money garbage,1
i not rating this one star because it is cute mouse and like the design for some reason found my macbook trackpad more comfortable to use than this mouse my wrists were hurt within couple hours of using this mouse that being said used it in moderation wanted to like it however received this mouse january th as of january responsiveness has gone downhill after taking it off the charger it has short battery life it takes about seconds and moving the scroll wheel for it to respond again even then it might have some hard to ignore hiccups ,5
i not rating this one star because it is cute mouse and like the design for some reason found my macbook trackpad more comfortable to use than this mouse my wrists were hurt within couple hours of using this mouse that being said used it in moderation wanted to like it however received this mouse january th as of january responsiveness has gone downhill after taking it off the charger it has short battery life it takes about seconds and moving the scroll wheel for it to respond again even then it might have some hard to ignore hiccups ,1
i really liked this mouse being able to charge it and not worry about batteries was working great up till today tried to pull the wireless usb from the chromebook and it only partially came out the cover to it was still stuck inside the port had to use tools to get it out and now it no longer usable very upset have lot of work have to get done and using mouse makes it smoother to navigate guess this would happen just after weeks of the return window closing have only had this since the end of july ,5
i really liked this mouse being able to charge it and not worry about batteries was working great up till today tried to pull the wireless usb from the chromebook and it only partially came out the cover to it was still stuck inside the port had to use tools to get it out and now it no longer usable very upset have lot of work have to get done and using mouse makes it smoother to navigate guess this would happen just after weeks of the return window closing have only had this since the end of july ,1
i use this for when am showering and got it to replace bose bt speaker that is about years old it was no longer holding charge and kept disconnecting from the bt the sound is so good ve taken it around the house with me it came partially charged so fully charged it before used it ve had it for weeks now and haven had to charge it yet the sound quality is incredible the bass is window shaking if you are on the fence get it it supposed to be waterproof too but haven tested it love it ,5
it pretty comfortable and the noise canceling is pretty good it great for gamers especially starting gamers and younger gamers however not sure if it just me because have smaller head but they could look little funny big when wearing also when playing sometimes the people that talking to don really hear me well at times or can sound low soft another thing noticed is that when it plugged into my controller it sometimes make loud static noise often not sure if it because of the cord not being put right by myself or because of the cord itself ,5
it pretty mouse just some notes plastic bit thin at the top so the color bleeds through more than the pic it fine just an aesthetic thing mouse wheel bit noisy now after some use squeeks and screetches some when scrolling battery life is fine glad can use it when charging sensitivity is off cursor moves quickly randomly as if its spazzing out thought this was battery issue but it happens when fully charged sometimes overall it fine but shouldve just bought something bit sturdier even if it was pricier gonna keep using it to get my moneys worth ,5
it pretty mouse just some notes plastic bit thin at the top so the color bleeds through more than the pic it fine just an aesthetic thing mouse wheel bit noisy now after some use squeeks and screetches some when scrolling battery life is fine glad can use it when charging sensitivity is off cursor moves quickly randomly as if its spazzing out thought this was battery issue but it happens when fully charged sometimes overall it fine but shouldve just bought something bit sturdier even if it was pricier gonna keep using it to get my moneys worth ,5
quality of sound is good however volume level compared to previous model sucks and the bluetooth changed so now the old models can connect to the new models that really dumb to not have back compatible technology my sister has previous model and it fills back yard of several acres can barely hear this across my warehouse would say it to as loud as previous bought it to hear above the refrigerator units and its disappointing for the price oh well guess that the price you pay for buying something online that you can hear the exact unit first ,5
